soru,cevap,veri türü,kaynak,context,Score
Davacı Batuhan dava dilekçesinde açık bir şekilde talep sonucunu belirtmemiştir. Hâkim Tunahan eksikliğin tamamlanması için bir haftalık kesin süre vermiştir. Batuhan bu süre içinde eksikliği tamamlamamıştır. 6100 sayılı Hukuk Muhakemeleri Kanunu’na göre olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?,Davanın açılmamış sayılmasına karar verilmelidir.,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
2004 sayılı İcra ve İflas Kanunu’na göre icra mahkemesine yapılacak şikâyet ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,İcra mahkemesi duruşma yapılmasını uygun gördüğü takdirde ilgilileri en kısa zamanda duruşmaya çağırır ve gelmemeleri hâlinde dosyayı işlemden kaldırır.,hukuk,2004 sayılı İcra ve İflas Kanunu,HMGS 2025 1. Sınav,8
"Berkay, İsmail’e karşı ilamlı icra takibi başlatır. İlama karşı istinaf yoluna başvuran İsmail, icra dairesine buna ilişkin belgeyi sunar ve yeterli nakit teminatı yatırır. İcra müdürü, İsmail’e icranın geri bırakılması kararı alması için süre verir. 2004 sayılı İcra ve İflas Kanunu’na göre İsmail’in icranın geri bırakılması kararını alabilmesi için başvurabileceği hukuki yolla ilgili aşağıdaki ifadelerden hangisi doğrudur?",Takibin yapıldığı yer icra mahkemesine başvurmalıdır.,hukuk,2004 sayılı İcra ve İflas Kanunu,HMGS 2025 1. Sınav,8
"Mehmet, Burak aleyhine genel haciz yolu ile takip başlatır. Burak’a ödeme emri tebliğ edilir. Burak, ödeme emrine itiraz etmez ve takip kesinleşir. Mehmet, kanuni süre içinde haciz talebinde bulunmaz. 2004 sayılı İcra ve İflas Kanunu’na göre takibin durumu yönünden aşağıdaki ifadelerden hangisi doğrudur?",Takip dosyasının işlemden kaldırılmasına karar verilir.,hukuk,2004 sayılı İcra ve İflas Kanunu,HMGS 2025 1. Sınav,8
"Borçlu Berk aleyhine yürütülen takipte, haciz mahallinde haciz işlemlerinin gerçekleştirilmesi esnasında borçlunun kardeşi Cenk tarafından Berk adına takip konusu borç kısmen ödenmek istenir. 2004 sayılı İcra ve İflas Kanunu’na göre olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?","Cenk tarafından takip konusu borca ilişkin ödeme kısmi olsa da icra memuru tarafından kabul edilir, haciz işlemlerine ancak kalan borca yönelik olarak devam edilebilir.",hukuk,2004 sayılı İcra ve İflas Kanunu,HMGS 2025 1. Sınav,8
İflas davası ile ilgili I. İflas davasında mahkemenin yetkisi kesindir. II. İflas davasının iflas ödeme emrinin tebliğinden itibaren bir yıl içinde açılması gerekir ve bu süre hak düşürücü niteliktedir. III. İflas davasında yazılı yargılama usulü geçerlidir. ifadelerinden hangileri doğrudur?,I ve II,hukuk,2004 sayılı İcra ve İflas Kanunu,HMGS 2025 1. Sınav,8
"A İnşaat Anonim Şirketi’nin konkordato talebini kabul eden mahkeme, şirkete bir yıllık kesin mühlet veriyor. Kesin mühlet içinde, konkordato komiserinin işlemlerinin kanuna aykırı olduğunu düşünen şirket alacaklısı Fatma, komiserin işlemlerine karşı şikâyet başvurusunda bulunarak bu işlemlerin iptalini istemeyi düşünüyor. 2004 sayılı İcra ve İflas Kanunu’na göre Fatma, şikâyet başvurusunu aşağıdaki mercilerin hangisinde ileri sürmelidir?",Asliye ticaret mahkemesi,hukuk,2004 sayılı İcra ve İflas Kanunu,HMGS 2025 1. Sınav,8
Zincirleme suçla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Zincirleme suçta zaman aşımı süresi ilk suçun işlendiği günden itibaren işlemeye başlar.,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’na göre müsadereyle ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Suçun işlenmesinde kullanılmak üzere hazırlanan eşya ancak suçun tamamlanması hâlinde müsadere edilebilir.,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
Aşağıdakilerden hangisi Türk ceza hukukunun doğrudan kaynaklarından biri değildir?,Yargıtay Ceza Genel Kurulu kararları,hukuk,HMGS,HMGS 2025 1. Sınav,8
"Kızını evlendiren A, düğün sırasında müziğin sesini çok açtığı için komşuları tarafından şikâyet edilir. Bunun üzerine A hakkında yürütülen kovuşturma sonucunda fiilinin hem Türk Ceza Kanunu uyarınca Gürültüye Neden Olma suçunu hem de Kabahatler Kanunu uyarınca Gürültü kabahatini oluşturduğu anlaşılır. Buna göre A’nın sorumluluğuyla ilgili aşağıdaki ifadelerden hangileri doğrudur? I. İlgili suçtan dolayı yaptırım uygulanabiliyorsa ayrıca kabahatten dolayı yaptırım uygulanmaz. II. Hem suçtan hem de kabahatten dolayı yaptırım uygulanır. III. İlgili suç için Kanun’da adli para cezası ile hapis cezası seçimlik olarak öngörülmüşse fiil aynı zamanda kabahat teşkil ettiği için ancak hapis cezası uygulanabilir.",Yalnız I,hukuk,HMGS,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’nun 42. maddesine göre “Biri diğerinin unsurunu veya ağırlaştırıcı nedenini oluşturması dolayısıyla tek fiil sayılan suça bileşik suç denir. Bu tür suçlarda — hükümleri uygulanmaz.” Bu cümlede boş bırakılan yere aşağıdakilerden hangisi gelmelidir?,İçtima,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’na göre aşağıdakilerden hangisi cezanın belirlenmesi ve bireyselleştirilmesi aşamasında dikkate alınmaz?,Mağdurun kusuru,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
Aşağıdakilerden hangisi ceza sorumluluğunu kaldıran veya azaltan nedenlerden biri değildir?,Ceza indirimi,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’na göre bir suçun işlenmesinde veya işlenmeye teşebbüs edilmesinde azmettirenin sorumluluğu ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,"Azmettiren, ancak suçun işlenmesi hâlinde fail gibi sorumlu olur.",hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’na göre zincirleme suç hükümlerinin uygulanabilmesi için aşağıdakilerden hangisinin gerçekleşmesi gerekir?,Aynı mağdura karşı aynı suçun birden fazla işlenmesi,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
"Bir suçun işlenmesi sırasında, failin mağdurun ölümüne neden olması hâlinde, failin durumu ile ilgili aşağıdaki ifadelerden hangisi doğrudur?","Fail, neticesi sebebiyle ağırlaşmış suçtan sorumlu olur.",hukuk,HMGS,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’na göre aşağıdakilerden hangisi suça teşebbüsün koşullarından biri değildir?,Failin taksirle hareket etmesi,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
Aşağıdakilerden hangisi 5237 sayılı Türk Ceza Kanunu’na göre şahsi cezasızlık sebeplerinden biridir?,Etkin pişmanlık,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’na göre cezanın ertelenmesiyle ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Erteleme süresi en az bir yıl, en çok üç yıldır.",hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
5237 sayılı Türk Ceza Kanunu’na göre aşağıdakilerden hangisi güvenlik tedbirlerinden biri değildir?,Hapis cezasının ertelenmesi,hukuk,5237 sayılı Türk Ceza Kanunu,HMGS 2025 1. Sınav,8
Ceza muhakemesinde kanun yolları ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Olağanüstü kanun yollarına başvuru süresi on beş gündür.,hukuk,HMGS,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre kovuşturma evresi ne zaman başlar?,İddianamenin kabulüyle,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre aşağıdakilerden hangisi Cumhuriyet savcısının görevlerinden biri değildir?,Davaya katılma talebinde bulunmak,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
"Ceza Muhakemesi Kanunu’na göre Cumhuriyet savcısı, iddianameyi hangi mercie sunar?",Ağır ceza mahkemesi başkanına,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre aşağıdakilerden hangisi tutuklama nedenlerinden biri değildir?,Şüpheli veya sanığın itiraf etmiş olması,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre adli kontrol tedbirine aşağıdakilerden hangisi örnektir?,Yurt dışına çıkış yasağı,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre hâkim veya mahkeme tarafından verilip de itiraz yasa yoluna tabi olan kararlara karşı başvuruların yapılacağı yer aşağıdakilerden hangisidir?,Kararı veren mahkeme,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre hükümlü lehine kanun yararına bozma isteminde bulunma yetkisi aşağıdakilerden hangisine aittir?,Adalet Bakanlığı,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre yakalama emri kim tarafından verilebilir?,Hâkim veya mahkeme,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre sanığın sorgusu sırasında müdafii hazır bulunmazsa ve sanık da müdafi istemezse hâkimin yapması gereken işlem aşağıdakilerden hangisidir?,Sanığın sorgusunu erteler ve barodan müdafi atar.,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre hükmün açıklanmasının geri bırakılmasına (HAGB) karar verilebilmesi için aşağıdaki koşullardan hangisinin bulunması zorunludur?,Sanığın suçtan doğan zararı tamamen gidermesi,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre hükmün açıklanmasının geri bırakılması (HAGB) kararına karşı başvurulabilecek kanun yolu aşağıdakilerden hangisidir?,İtiraz,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre sanığın sorgusu aşağıdakilerden hangisi tarafından yapılır?,Mahkeme başkanı veya hâkim,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre duruşmada sırasıyla hangi işlemler yapılır?,"İddianamenin okunması, sanığın sorgusu, delillerin tartışılması, hüküm",hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre duruşmada sanığın sorgusundan önce aşağıdakilerden hangisi yapılır?,İddianamenin okunması,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
"Ceza Muhakemesi Kanunu’na göre duruşmanın devamı sırasında sanığın gelmemesi hâlinde, mahkeme aşağıdaki işlemlerden hangisini yapabilir?",Sanık hakkında zorla getirme kararı verir.,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre duruşmanın düzenini bozan sanığa uygulanabilecek yaptırım aşağıdakilerden hangisidir?,Duruşmadan çıkarma,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre tanıklıktan çekinme hakkı aşağıdakilerden hangisine tanınmıştır?,Sanığın nişanlısına,hukuk,6102 sayılı Türk Ticaret Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre duruşmanın aleniyeti ilkesiyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,"Hâkim, kamu düzeni veya genel ahlak gerekçesiyle duruşmayı kapalı yapabilir.",hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre basit yargılama usulü hangi aşamada uygulanır?,Kovuşturma evresinde duruşma yapılmadan,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre istinaf başvurusunun reddine dair kararları aşağıdaki mercilerden hangisi verir?,İlk derece mahkemesi,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre duruşma sırasında delillerin tartışılmasından sonra aşağıdaki işlemlerden hangisi yapılır?,Cumhuriyet savcısının esas hakkındaki mütalaasını vermesi,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre sanık lehine kanun yararına bozma talebinde bulunabilecek makam aşağıdakilerden hangisidir?,Adalet Bakanlığı,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre tutuklamaya itiraz mercii aşağıdakilerden hangisidir?,Üst dereceli mahkeme,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre istinaf kanun yoluna başvurma süresi aşağıdakilerden hangisidir?,15 gün,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre sanığın sorgusunun nasıl yapılacağına ilişkin aşağıdaki ifadelerden hangisi doğrudur?,Sanığın sorgusu sırasında kendisine avukatı soru sorabilir.,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre duruşma sırasında tanığın gelmemesi hâlinde aşağıdaki işlemlerden hangisi yapılabilir?,Tanık hakkında zorla getirme kararı verilebilir.,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre hüküm ne zaman açıklanır?,Savunmaların alınmasından sonra,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre hükmün açıklanmasının geri bırakılması (HAGB) kararı aşağıdakilerden hangisine karşı yapılabilir?,İtiraz,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre adli kontrol kararını verme yetkisi aşağıdakilerden hangisine aittir?,Sulh ceza hâkimi,hukuk,5271 sayılı Ceza Muhakemesi Kanunu,HMGS 2025 1. Sınav,8
Ceza Muhakemesi Kanunu’na göre istinaf başvurusunun reddine karar verilmesi hâlinde aşağıdakilerden hangisi doğrudur?,Karar kesindir.,hukuk,6100 sayılı Hukuk Muhakemeleri Kanunu,HMGS 2025 1. Sınav,8
"1982 Anayasası’na göre bir siyasi parti grubunun I. milletvekillerinin yasama dokunulmazlığının kaldırılmasına yönelik görüşme yapmak, II. Türkiye Büyük Millet Meclisi Başkanlığına aday göstermek, III. Cumhurbaşkanlığına aday göstermek işlemlerinden hangilerini yapmaya yetkisi vardır?",Yalnız III,hukuk,1982 Anayasası,HMGS 2025 3. Sınav,8
"Türk Ticaret Kanunu’nun bazı maddelerinde değişiklik öngören kanun teklifi Türkiye Büyük Millet Meclisi Genel Kurulunca kabul edilir. Meclis Başkanlığı, Kanun’u yayımlanması için Cumhurbaşkanlığına gönderir. Cumhurbaşkanı, kendisine gönderilen Kanun’un bazı maddelerini uygun bulmayarak Meclise geri gönderir. Geri gönderilen Kanun, Meclisin görüşme gündemine alındığında ise bu görüşmeye 540 milletvekili katılır. 1982 Anayasası’na göre Türkiye Büyük Millet Meclisi, geri gönderilen bu Kanun’u kural olarak en az kaç milletvekilinin oyuyla aynen kabul ederse Kanun, Cumhurbaşkanı tarafından yayımlanır?",301,hukuk,1982 Anayasası,HMGS 2025 3. Sınav,8
"Sabit liste seçme yönteminin benimsendiği bir ülkede, yasama organı seçimleri yapılır. 116.000 geçerli oyun kullanıldığı ve dört milletvekilinin çıkacağı bir seçim çevresinde K Partisi 30.000, L Partisi 35.000, M Partisi 10.000, N Adayı 37.000, P Adayı 4.000 oy alır. Üç siyasi parti, bu seçim çevresinden dörder aday gösterirken bağımsız adaylar N ve P ise seçimlere tek başlarına katılır. Üç siyasi parti de ulusal düzeyde uygulanan seçim barajını geçer. Nispi temsil esasına dayalı ve d’Hondt usulüne göre dağılımın yapıldığı bu seçim çevresindeki dört milletvekilinin dağılımı aşağıdakilerin hangisinde doğru verilmiştir?",K Partisi – 1 / L Partisi – 2 / N Adayı,hukuk,1982 Anayasası,HMGS 2025 3. Sınav,8
"Milletvekili M’nin, teklif üzerine Türkiye Büyük Millet Meclisi Genel Kurulunda yaptığı kürsü konuşmasında kullandığı sözleri Meclis dışında tekrarlamaması ve açığa vurmaması yönünde Meclis Genel Kurulu tarafından karar alınır. 1982 Anayasası’na göre Türkiye Büyük Millet Meclisi Genel Kurulunun bu kararı alabilmesi için teklifin aşağıdakilerden hangisi tarafından sunulmuş olması gerekir?",İlgili oturumdaki Türkiye Büyük Millet Meclisi Başkanlık Divanı,hukuk,1982 Anayasası,HMGS 2025 3. Sınav,8
"Belirli sayıda seçmenin kendi aralarında imza toplayarak belirli bir konuda kanun yapılmasını parlamentodan istemelerine dayanan, toplanan imza sayısı anayasa veya kanun tarafından belirlenen sayıya ulaştığı takdirde parlamentonun imzacı seçmenlerin istediği kanunu müzakere etmek zorunda oldukları bu yöntem yarı-doğrudan demokrasi araçlarından biri olarak günümüzde birçok devlette uygulanmaktadır. Hakkında bilgiler verilen bu yöntem aşağıdakilerden hangisidir?",Halk teşebbüsü,hukuk,HMGS,HMGS 2025 3. Sınav,8
1982 Anayasası’na göre bir siyasi partinin Anayasa’da belirtilen düzenlemelere aykırı eylemlerin odağı hâline geldiğinin tespiti aşağıdakilerden hangisi tarafından yapılır?,Anayasa Mahkemesi,hukuk,1982 Anayasası,HMGS 2025 3. Sınav,8
I. Yüce Divan sıfatıyla verdiği kararlar II. Siyasi parti kapatma davalarında verdiği kararlar III. Bireysel başvurularda verdiği kabul edilmezlik kararları — 6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun’a göre Anayasa Mahkemesinin yukarıdaki kararlarından hangileri hakkında kural olarak yargılamanın yenilenmesi talep edilebilir?,I ve II,hukuk,6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun,HMGS 2025 3. Sınav,8
Aşağıdakilerden hangisi 6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun’da Anayasa Mahkemesi Genel Kurulunun görevleri arasında sayılmamıştır?,"Anayasa Mahkemesinin kurumsal, bilimsel ve idari işlerini yürütmek",hukuk,6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun,HMGS 2025 3. Sınav,8
"Anayasa Mahkemesine bireysel başvuru yapmak isteyen Alp, hastanede bilinci kapalı olarak tedavi gördüğü için başvuru süresini kaçırır. Taburcu olan Alp, hastanede geçirdiği günlere ilişkin raporu da ekleyerek geçerli mazeretinden dolayı ek süresi olduğu gerekçesiyle Mahkemeye bireysel başvuru yapmak ister. 6216 sayılı Kanun’a göre Alp, mazeretinin ortadan kalktığı tarihten itibaren en fazla kaç güne kadar başvurusunu yapabilir?",15,hukuk,1982 Anayasası,HMGS 2025 3. Sınav,8
"“Bugünkü durumda Bakanlığın bütün işlemlerini Bakan’ın bizzat yapması olanağı bulunmadığından kimi konulara ilişkin yetkilerini, sorumluluk kendi üzerinde kalmak üzere emrinde çalışan yüksek memurlara kullandırması zorunluluğu bulunmaktadır.” — Bu ifadede aşağıdaki idare hukuku kavramlarından hangisinin varlık nedeni vurgulanmaktadır?",Yetki devri,hukuk,HMGS,HMGS 2025 3. Sınav,8
"A ilçe belediyesinde temizlik işçisi olarak çalışan Ahmet’e, geçirdiği rahatsızlık nedeniyle ayakta durmasının uygun olmadığına ilişkin rapor verilir. Ahmet, bu rapora dayanarak A ilçe belediyesine görev değişikliği talebinde bulunur. A ilçe belediyesi yasal süre içinde cevap vermez. Ahmet, idare ile ilgili şikâyetini belirten dilekçe ile Kamu Denetçiliği Kurumuna başvurur. 6328 sayılı Kanun’a göre bu olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?","Ahmet’in dava açma süresi içinde Kuruma yaptığı başvuru, işlemeye başlamış olan dava açma süresini durdurur.",hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 3. Sınav,8
"Lisans mezunu olarak atanan memur Mehmet, memuriyette iken avukatlık stajını tamamlar. Mehmet, bu durumda kademe ilerlemesi alması gerektiğini öğrenir ve kademe ilerlemesinin yapılması için dilekçe ile başvuruda bulunur. 657 sayılı Devlet Memurları Kanunu’na göre Mehmet’e kaç kademe ilerlemesi uygulanır?",1,hukuk,657 sayılı Devlet Memurları Kanunu,HMGS 2025 3. Sınav,8
"İsmail, çalıştığı kuruma bilgi edinme isteminde bulunur, başvurusu kurum tarafından reddedilir ve bu karar kendisine tebliğ edilir. İsmail, Bilgi Edinme Değerlendirme Kuruluna itiraz eder. 4982 sayılı Kanun’a göre bu olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?","Kurul, itiraz hakkında kararını otuz iş günü içinde verir.",hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 3. Sınav,8
"Millî Eğitim Bakanlığı, Yükseköğretim Kuruluna ait taşınmaza ihtiyaç duyar ve bu nedenle kanun gereği tespit edilen ödeyeceği bedeli de belirterek yazılı olarak Yükseköğretim Kuruluna başvurur. Yükseköğretim Kurulu, bu başvuruya yasal süresi içinde cevap vermez. 2942 sayılı Kamulaştırma Kanunu’na göre aşağıdakilerden hangisi Millî Eğitim Bakanlığının başvurusu üzerine bu olaydaki anlaşmazlığı inceleyerek kesin karara bağlar?",Danıştay,hukuk,2942 sayılı Kamulaştırma Kanunu,HMGS 2025 3. Sınav,8
Toprağı doğrudan doğruya işleten küçük çiftçiler Dilek ve Mustafa’nın müşterek malik oldukları taşınmaz hakkında Devlet Su İşleri Genel Müdürlüğünce büyük enerji ve sulama projeleri yapılacağı gerekçesiyle kamulaştırma işlemi tesis edilir. Dilek ve Mustafa bu işleme karşı dava açmayı düşünür. Bu olaya göre aşağıdaki ifadelerden hangisi yanlıştır?,Dilek ve Mustafa beraber dava açmak zorundadır.,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 3. Sınav,8
2577 sayılı İYUK’a göre duruşmalara ilişkin esaslarla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Taraflardan yalnız biri gelirse hiçbir işlem yapılmaz ve duruşma açılmaz.,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 3. Sınav,8
"Türkiye Barolar Birliği, avukatlara uygulanacak reklam yasağı ile ilgili bir yönetmelik çıkarır. Avukat Samet, bu yönetmeliğin hukuka aykırı olduğunu düşünerek yürütmenin durdurulması talepli iptal davası açar. Bu olaya göre aşağıdaki ifadelerden hangisi yanlıştır?",İlk derece mahkemesinin nihai kararına karşı istinaf yolu kapalıdır.,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 3. Sınav,8
Ankara’da bir kamu kurumunda kamu görevlisi olan Batuhan’a Daire Başkanı tarafından kişisel husumet nedeniyle kınama cezası verilir ve tebliğ edilir. Batuhan iptal davası açar. 2577 sayılı İYUK’a göre bu olayla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Disiplin cezası uygulanmakla etkisi tükenecek işlem olmadığından YD talep edilemez.,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 3. Sınav,8
"Şekle tabi bir sözleşmenin şekle uyulmadan yapılmasına kasten sebep olan ve karşı tarafı şekle aykırı davranmaya yönelten A, daha sonra sözleşmenin şekil yönünden geçersizliğini ileri sürer. Bu olaya göre A’nın davranışı aşağıdakilerden hangisi kapsamında değerlendirilebilir?",Hakkın kötüye kullanılması,hukuk,HMGS,HMGS 2025 3. Sınav,8
I. Yönetim kurulu II. Denetim kurulu III. Disiplin kurulu — 4721 sayılı Türk Medeni Kanunu’na göre yukarıdakilerden hangileri derneklerin zorunlu organları arasında yer alır?,I ve II,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
"4721 sayılı Türk Medeni Kanunu’na göre gerçek kişilerde adın değiştirilmesinden zarar gören kimse, bunu öğrendiği günden başlayarak kural olarak en geç ne kadar süre içinde değiştirme kararının kaldırılmasını dava edebilir?",1 yıl,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
"A, eşi B’nin kumar oynamasından dolayı sosyal çevresinde kötü muamelelerle karşılaşır. B’nin bu fiilinden vazgeçmemesinin ekonomik problemleri de beraberinde getirmesiyle A, boşanma davası açmayı düşünür. 4721 sayılı TMK’ya göre A’nın, haysiyetsiz hayat sürme sebebine dayanarak boşanma davası açabilmesiyle ilgili aşağıdaki ifadelerden hangisi doğrudur?",A’dan eşiyle birlikte yaşaması beklenemiyorsa her zaman dava açabilir.,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
4721 sayılı TMK’ya göre boşanma kararıyla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Boşanma sebebiyle dava hakları, hükmün kesinleşmesinden itibaren 6 ayda zamanaşımına uğrar.",hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
"Tanıma, evlilik dışı doğan çocuk ile babası arasında soy bağının kurulmasını sağlayan irade beyanıdır. 4721 sayılı TMK’ya göre tanıma ile ilgili I. Tanıyan, tanımanın iptali davasını anne ve çocuğa karşı açar. II. Başka bir erkekle soy bağı bulunan çocuk, bu bağın geçersiz kılınmasına gerek kalmaksızın tanınabilir. III. Tanıma beyanında bulunan kimse, küçük veya kısıtlı ise veli veya vasisinin de rızası gereklidir. ifadelerinden hangileri doğrudur?",I ve II,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
Yoksulluk nafakasıyla ilgili I. Hâkim tarafından re’sen ödenmesine hükmedilemez. II. Yoksulluk nafakasına süresiz olarak hükmedilebilir. III. Nafaka yükümlüsü eşin boşanmada kusuru aranmaz. ifadelerinden hangileri doğrudur?,"I, II ve III",hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
"Ergin bir kimse, Kanun’da sayılan belirli sebeplerle işlerini gerektiği gibi yönetemediğini ispat ederse kendisinin kısıtlanmasını isteyebilir. Aşağıdakilerden hangisi 4721 sayılı TMK’da erginin isteği üzerine kısıtlanabilme hâlleri arasında sayılmamıştır?",Alkol bağımlılığı,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
4721 sayılı TMK’ya göre üst hakkı ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Kural olarak bağımsız bölümler üzerinde ayrıca üst hakkı kurulabilir.,hukuk,4721 sayılı Türk Medeni Kanunu,HMGS 2025 3. Sınav,8
